"寶島股價指數","12,374.17","+","55.24","0.45",
"發行量加權股價指數","10,774.21","+","50.12","0.47",
"臺灣公司治理100指數","6,066.00","+","24.59","0.41",
"臺灣50指數","8,227.46","+","40.92","0.50",
"臺灣中型100指數","7,746.33","+","42.92","0.56",
"臺灣資訊科技指數","10,581.84","+","49.70","0.47",
"臺灣發達指數","9,016.34","+","59.92","0.67",
"臺灣高股息指數","5,917.61","+","35.93","0.61",
"臺灣就業99指數","6,240.56","+","22.47","0.36",
"臺灣高薪100指數","5,951.88","+","36.26","0.61",
"臺灣低波動高股息指數","1,524.89","+","11.05","0.73",
"未含金融保險股指數","9,216.93","+","47.03","0.51",
"未含電子股指數","13,943.04","+","35.55","0.26",
"未含金融電子股指數","11,978.63","+","35.87","0.30",
"小型股300指數","6,284.23","+","20.73","0.33",
"漲升股利150指數","6,061.62","+","22.09","0.37",
"漲升股利100指數","6,033.79","+","24.13","0.40",
"藍籌30指數","5,562.42","+","8.74","0.16",
"工業菁英30指數","5,974.02","+","29.50","0.50",
"電子菁英30指數","5,849.54","-","8.62","-0.15",
"低波動精選30指數","5,431.69","+","26.88","0.50",
"低貝塔100指數","5,341.23","-","6.12","-0.11",
"中小型精選50指數","5,425.50","+","11.97","0.22",
"中小型A級動能50指數","6,082.41","+","11.04","0.18",
"特選高息低波指數","5,159.77","+","9.50","0.18",
"臺灣生技指數","4,792.80","+","7.17","0.15",
"藍籌30反向一倍指數","8,935.22","-","14.08","-0.16",
"工業菁英30反向一倍指數","9,766.69","-","48.71","-0.50",
"水泥窯製類指數","438.42","+","1.60","0.37",
"塑膠化工類指數","880.36","+","5.42","0.62",
"機電類指數","2,611.80","+","16.03","0.62",
"水泥類指數","112.00","+","0.27","0.24",
"食品類指數","1,594.50","-","6.30","-0.39",
"塑膠類指數","269.61","+","2.00","0.75",
"紡織纖維類指數","507.53","+","5.12","1.02",
"電機機械類指數","189.79","+","0.48","0.25",
"電器電纜類指數","46.28","+","0.60","1.31",
"化學生技醫療類指數","96.95","+","0.56","0.58",
"化學類指數","102.62","+","0.41","0.40",
"生技醫療類指數","63.39","+","0.53","0.84",
"玻璃陶瓷類指數","41.64","+","0.39","0.95",
"造紙類指數","271.95","-","2.09","-0.76",
"鋼鐵類指數","102.30","+","0.61","0.60",
"橡膠類指數","315.17","-","0.08","-0.03",
"汽車類指數","254.78","+","0.01","--",
"電子類指數","464.97","+","2.90","0.63",
"半導體類指數","170.91","+","0.53","0.31",
"電腦及週邊設備類指數","101.72","+","1.97","1.97",
"光電類指數","51.89","+","1.26","2.49",
"通信網路類指數","123.29","-","0.52","-0.42",
"電子零組件類指數","93.15","-","0.44","-0.47",
"電子通路類指數","120.24","+","0.78","0.65",
"資訊服務類指數","85.63","-","0.05","-0.06",
"其他電子類指數","112.14","+","1.10","0.99",
"建材營造類指數","247.50","+","0.39","0.16",
"航運類指數","67.11","+","0.11","0.16",
"觀光類指數","125.39","-","0.57","-0.45",
"金融保險類指數","1,143.09","+","1.66","0.15",
"貿易百貨類指數","221.01","+","0.42","0.19",
"油電燃氣類指數","133.65","-","0.01","-0.01",
"其他類指數","248.95","+","0.16","0.06",
"臺指日報酬兩倍指數","16,847.39","+","156.02","0.93",
"臺指日報酬反向一倍指數","7,358.95","-","34.55","-0.47",
"電子類兩倍槓桿指數","14,674.27","+","181.91","1.26",
"電子類反向指數","7,615.67","-","48.10","-0.63",
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)",
"寶島股價報酬指數","14,306.85","+","63.87","0.45",
"發行量加權股價報酬指數","18,459.08","+","85.87","0.47",
"臺灣公司治理100報酬指數","6,846.54","+","27.76","0.41",
"臺灣50報酬指數","14,251.97","+","70.89","0.50",
"臺灣中型100報酬指數","12,434.47","+","68.90","0.56",
"臺灣資訊科技報酬指數","17,384.96","+","81.64","0.47",
"臺灣發達報酬指數","14,064.06","+","93.46","0.67",
"臺灣高股息報酬指數","11,664.38","+","70.81","0.61",
"臺灣就業99報酬指數","7,954.34","+","28.63","0.36",
"臺灣高薪100報酬指數","6,820.97","+","41.56","0.61",
"臺灣低波動高股息報酬指數","3,452.14","+","25.03","0.73",
"未含金融電子股報酬指數","20,629.37","+","61.77","0.30",
"小型股300報酬指數","6,838.02","+","22.55","0.33",
"漲升股利150報酬指數","6,528.99","+","23.80","0.37",
"漲升股利100報酬指數","6,489.08","+","25.95","0.40",
"藍籌 30 報酬指數","5,793.36","+","9.10","0.16",
"工業菁英 30 報酬指數","6,229.04","+","30.76","0.50",
"電子菁英 30 報酬指數","6,077.82","-","8.96","-0.15",
"低波動精選 30 報酬指數","5,686.10","+","28.13","0.50",
"低貝塔 100 報酬指數","5,582.54","-","6.39","-0.11",
"中小型精選50報酬指數","5,691.84","+","12.57","0.22",
